14:47-06/03/26 | INSTALAR | Categoría creada: EauDeCologne
14:47-06/03/26 | INSTALAR | Marca creada: JeanPaulGaultier
14:47-06/03/26 | INSTALAR | Producto 124 creado: Scandal Pour Homme Le Parfum
14:47-06/03/26 | INSTALAR | Producto 125 creado: Le Male Elixir
14:47-06/03/26 | INSTALAR | Marca creada: MaisonFrancisKurkdjian
14:47-06/03/26 | INSTALAR | Producto 126 creado: Baccarat Rouge 540 Extrait de Parfum
14:47-06/03/26 | INSTALAR | Marca creada: Prada
14:47-06/03/26 | INSTALAR | Producto 127 creado: Luna Rossa Ocean Le Parfum
14:47-06/03/26 | INSTALAR | Marca creada: TomFord
14:47-06/03/26 | INSTALAR | Producto 128 creado: Ombré Leather Parfum
14:47-06/03/26 | INSTALAR | Fin de la instalacion

14:47-06/03/26 | SESION | Inicio de programa
14:48-06/03/26 | CREACION - TIPO PERFUME | El tipo de perfume EauToilette se ha creado correctamente en /tiendas/PerfumeriaPaco
14:48-06/03/26 | CREACION - TIPO PERFUME | Usuario va a crear otro tipo de perfume
14:48-06/03/26 | CREACION - TIPO PERFUME | Error: El nombre del tipo de perfume no puede estar vacio.
14:48-06/03/26 | SESION | Inicio de programa
14:48-06/03/26 | CREACION - MARCA | La marca a se ha creado correctamente en /tiendas/PerfumeriaPaco/EauToilette
14:48-06/03/26 | CREACION - MARCA | Usuario va a crear otra marca
14:48-06/03/26 | CREACION - MARCA | Usuario no ninguna creo marca.
14:49-06/03/26 | CREACION - PRODUCTO | Error: Ya existe un perfume (101) con este codigo en la tienda.
14:49-06/03/26 | CREACION - PRODUCTO | Error: El nombre de la marca no puede estar vacio.
14:50-06/03/26 | CREACION - PRODUCTO | El archivo json 205.json se ha creado correctamente en /tiendas/PerfumeriaPaco/EauDeCologne/4711
14:50-06/03/26 | CREACION - PRODUCTO | Usuario termino de crear el producto
14:50-06/03/26 | BUSQUEDA - CODIGO | Producto encontrado: /tiendas/PerfumeriaPaco/EauDeCologne/4711/205.json
14:50-06/03/26 | BUSQUEDA - CODIGO | El producto 205.json en /tiendas/PerfumeriaPaco/EauDeCologne/4711/205.json, ha sido modificado
14:51-06/03/26 | BUSQUEDA - REFERENCIA | Se ha modificado el /tiendas/PerfumeriaPaco/Parfum/JeanPaulGaultier/124.json
14:51-06/03/26 | SESION | Usuario esta viendo la tienda
14:52-06/03/26 | IA / ENVIAR CORREO | ¡Datos enviados correctamente!
14:53-06/03/26 | SESION | Fin de programa

14:41-11/03/26 | SESION | Inicio de programa
14:41-11/03/26 | BUSQUEDA - REFERENCIA | Se ha modificado el /tiendas/PerfumeriaPaco/Parfum/JeanPaulGaultier/124.json
14:41-11/03/26 | BUSQUEDA - REFERENCIA | Se ha modificado el /tiendas/PerfumeriaPaco/Parfum/JeanPaulGaultier/124.json
14:42-11/03/26 | BUSQUEDA - REFERENCIA | Se ha modificado el /tiendas/PerfumeriaPaco/Parfum/JeanPaulGaultier/124.json
